method,split,accuracy,flops_per_sample,flops_reduction,latency_ms,latency_reduction,co2_kg,co2_reduction,avg_exit,notes
accuracy_first_base_0.90_alpha_0.20,test,0.8756,379887836.2245279,0.31906199999997154,0.061912288121838806,0.9716282482450901,6.285641602528828e-05,0.31906199999997154,2.8627,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.90_alpha_0.30,test,0.8767,525861730.91020733,0.057408000000001236,0.07092688943936602,0.9674972422928138,8.700932374769213e-05,0.057408000000001236,3.7792,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.90_alpha_0.40,test,0.8773,547793464.2216953,0.018096000000001222,0.07364033979399381,0.9662537841329526,9.063815842395638e-05,0.018096000000001222,3.9304,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.90_alpha_0.50,test,0.8774,557889024.0,0.0,0.08646392569716047,0.9603772835724109,9.230857438604639e-05,0.0,4.0,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.75_alpha_0.05,test,0.8475,221923790.63499823,0.6022080000000175,0.057155249164611746,0.9738081955944318,3.671961242217255e-05,0.6022080000000175,1.8055,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.75_alpha_0.10,test,0.846,217098050.57739845,0.6108580000000171,0.057222208846128005,0.9737775108383163,3.592114325373328e-05,0.6108580000000171,1.772,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.75_alpha_0.20,test,0.8402,208074753.5032222,0.6270320000000176,0.056166037812150287,0.9742615088182937,3.442814437161333e-05,0.6270320000000176,1.7082,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.75_alpha_0.30,test,0.8341,199379495.17515838,0.6426180000000172,0.05254309822785081,0.9759217469653073,3.298942293123244e-05,0.6426180000000172,1.6453,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.75_alpha_0.40,test,0.8258,191437387.02949437,0.6568540000000173,0.05105465095406538,0.9766038386442485,3.167531806627268e-05,0.6568540000000173,1.586,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.75_alpha_0.50,test,0.8173,183842285.85675842,0.6704680000000172,0.048797214572269855,0.977638325118093,3.0418629134581053e-05,0.6704680000000172,1.5284,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.80_alpha_0.05,test,0.8583,237159739.8804441,0.574898000000007,0.05895480205197996,0.972983537528334,3.924055958865645e-05,0.574898000000007,1.9197,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
